Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
MWC/1000 Float uniform,2.0560328942109798e-4,2.0544519944949932e-4,2.0587047472416507e-4,6.603181305320993e-7,5.459880489631287e-7,9.666325855486172e-7
MWC/1000 Double uniform,2.1301893476613728e-4,2.1280102626955696e-4,2.1316719886774513e-4,5.355580481262929e-7,4.0750940645976963e-7,6.800967245449851e-7
"MWC/1000 Int (0,100)",2.3939003077057914e-4,2.3920997229588778e-4,2.3953085515433884e-4,5.135586865804376e-7,4.316147475871141e-7,6.217191221027971e-7
"MWC/1000 Word8 (0,100)",2.330012709912227e-4,2.328644540977226e-4,2.3327725001178403e-4,6.149106369372923e-7,3.855803232901056e-7,1.076102469661789e-6
PCG/1000 Float uniform,1.8325302103314683e-5,1.8267197289714194e-5,1.8389633259259493e-5,1.442789990184485e-7,1.1280427911970024e-7,1.907559945881658e-7
PCG/1000 Double uniform,1.9008757228615587e-5,1.8828015971249032e-5,1.9303093355047943e-5,4.871565731146749e-7,4.1034403127386716e-7,5.306715635239515e-7
"PCG/1000 Int (0,100)",1.9085987451256736e-5,1.8952887398199215e-5,1.927756691393496e-5,3.2704013038120103e-7,2.1469943523518894e-7,4.083004717728921e-7
"PCG/1000 Word8 (0,100)",2.5551751266438355e-5,2.5481595189719435e-5,2.5656737425936076e-5,2.0034942020864312e-7,1.6059453850038292e-7,2.2921134417621372e-7
PCGFast/1000 Float uniform,1.8064277105023374e-5,1.800445008889211e-5,1.8147575645407556e-5,1.4097540256079188e-7,7.385396521906632e-8,1.8785443457293724e-7
PCGFast/1000 Double uniform,1.850746839445957e-5,1.8449900314349977e-5,1.858375401460171e-5,1.4724140229952577e-7,1.2182261100550085e-7,1.776500746783579e-7
"PCGFast/1000 Int (0,100)",1.90351814130697e-5,1.8909440913477706e-5,1.919428111157884e-5,3.0710648751794706e-7,2.0124775554097553e-7,4.393589039722195e-7
"PCGFast/1000 Word8 (0,100)",2.5454252902397504e-5,2.5382552475276053e-5,2.5540692899393623e-5,1.7837941051968737e-7,1.483488653233762e-7,2.184382732138477e-7
PCGPure/1000 Float uniform,1.6924825219498315e-5,1.6769703257150165e-5,1.713554255831952e-5,3.714602244552171e-7,2.863963138648803e-7,4.293212655225708e-7
PCGPure/1000 Double uniform,1.7439559703312374e-5,1.7316522654639716e-5,1.7602038751328537e-5,3.0695884719922177e-7,2.1952529643142802e-7,4.0051396914791856e-7
"PCGPure/1000 Int (0,100)",1.8114824417109588e-5,1.8036586001799065e-5,1.825347294322785e-5,2.17043870597419e-7,1.489066132277464e-7,2.902936254898682e-7
"PCGPure/1000 Word8 (0,100)",1.82821108047184e-5,1.8253759030071414e-5,1.8325769713580614e-5,7.907425258841072e-8,5.068776066868372e-8,1.063094643049293e-7
PCGFastPure/1000 Float uniform,1.7258062033880098e-5,1.7089937856635897e-5,1.7420293398040556e-5,3.6189788359106613e-7,3.054751063603145e-7,4.4259382052913485e-7
PCGFastPure/1000 Double uniform,1.6069764505440987e-5,1.5953127805536277e-5,1.6257506023683568e-5,3.086707295284519e-7,2.48745768572436e-7,3.821235998331471e-7
"PCGFastPure/1000 Int (0,100)",1.649999637440701e-5,1.6416667454009813e-5,1.6557344914899333e-5,1.5944137382831054e-7,1.2349528295813582e-7,1.8822133300710655e-7
"PCGFastPure/1000 Word8 (0,100)",1.8092771962657754e-5,1.802072896943304e-5,1.8186550396679884e-5,1.7845168230574808e-7,1.2170422496158294e-7,2.2269114790134943e-7
